contentid,contenttypeid,heritage1,heritage2,heritage3,infocenter,opendate,restdate,expguide,expagerange,accomcount,useseason,usetime,parking,chkbabycarriage,chkpet,chkcreditcard,seat,kidsfacility,firstmenu,treatmenu,smoking,packing,infocenterfood,scalefood,parkingfood,opendatefood,opentimefood,restdatefood,discountinfofood,chkcreditcardfood,reservationfood,lcnsno,scale,usefee,discountinfo,spendtime,parkingfee,infocenterculture,accomcountculture,usetimeculture,restdateculture,parkingculture,chkbabycarriageculture,chkpetculture,chkcreditcardculture,sponsor1,sponsor1tel,sponsor2,sponsor2tel,eventenddate,playtime,eventplace,eventhomepage,agelimit,bookingplace,placeinfo,subevent,program,eventstartdate,usetimefestival,discountinfofestival,spendtimefestival,festivalgrade,progresstype,festivaltype,saleitem,saleitemcost,fairday,opendateshopping,shopguide,culturecenter,restroom,infocentershopping,scaleshopping,restdateshopping,parkingshopping,chkbabycarriageshopping,chkpetshopping,chkcreditcardshopping,opentime,distance,schedule,taketime,theme,roomcount,roomtype,refundregulation,checkintime,checkouttime,chkcooking,seminar,sports,sauna,beauty,beverage,karaoke,barbecue,campfire,bicycle,fitness,publicpc,publicbath,subfacility,foodplace,reservationurl,pickup,infocenterlodging,parkinglodging,reservationlodging,scalelodging,accomcountlodging,openperiod,reservation,infocenterleports,scaleleports,accomcountleports,restdateleports,usetimeleports,usefeeleports,expagerangeleports,parkingleports,parkingfeeleports,chkbabycarriageleports,chkpetleports,chkcreditcardleports
2784321,39,,,,,,,,,,,,,,,,,0,물밀면,비빔밀면 / 고기모둠 / 개금만두 등,,,051-892-3466,,불가능,,11:00~19:40,연중무휴,,가능,,19870131002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2834026,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,무료,,,,070-4115-0419,,12:00~18:00,"매주 월요일, 화요일 / 공휴일",불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760771,39,,,,,,,,,,,,,,,,,0,프리미엄 갈비살,등심 / 안심 / 해남묵은지 차돌박이 등,,가능,,,가능,,- 11:30~22:00<br>- 준비시간 15:00~17:00,연중무휴,,,,20130141474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904908,39,,,,,,,,,,,,,,,,,0,한우 곰탕,떡곰탕맑은곰탕 / 떡곰탕뽀얀곰탕 / 한우 섞어곰탕 등,,,051-731-0157,,가능,,07:00~21:00 (마지막 주문 20:30),연중무휴,,,,20180142045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2867215,39,,,,,,,,,,,,,,,,,0,맷돌순두부,하얀순두부 / 들깨순두부 / 해물순두부 등,,,051-623-6204,,가능,,- 평일 10:00~20:00<br>- 토요일 08:00~20:00<br>- 일요일 08:00~19:30,연중무휴,,가능,,20180137584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3422647,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"부산광역시, 한국콘텐츠진흥원",010-8552-8044,(재)부산정보산업진흥원,,20251214,11:00~20:00,지하 1층 포디움다이브엠,,,,,,,20251129,무료,,,,선택안함,선택안함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129631,12,0,0,0,부산광역시 수영구 문화관광과 051-610-4067,,연중무휴,,,,,상시 개방,가능,불가,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838907,39,,,,,,,,,,,,,,,,,0,뚝배기함박스테이크,고관까스 / 고관정식 / 파스타함박스테이크 등,,가능,051-911-8484,,,,- 11:00~21:00<br>- 준비시간 15:30~16:30<br>- 마지막 주문 20:00,연중무휴,,,,20190129182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3336600,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"고래자개키링, 부산키링, 자개모빌 등",,,,,,없음,070-8657-2300,,연중무휴,불가능,,,,10:00~21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785272,39,,,,,,,,,,,,,,,,,0,스페셜 안심 카츠,전복리조또 / 중화로제파스타 / 땡초불모듬까스 등,,,0507-1466-9008,,가능,,[평일]<br>- 11:30~20:30<br>- 준비시간 15:00~17:30<br>- 마지막 주문 19:45<br>[주말]<br>- 11:00~20:30<br>- 준비시간 15:30~17:10<br>- 마지막 주문 19:45,연중무휴,,,,20190156404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782765,12,0,0,0,051-709-4000,,연중무휴,,,,,상시 개방,불가능,없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134326,39,,,,,,,,,,,,,,,,,0,짝갈비살,등심 / 삼겹살 / 육회 등,모두 금연석,가능(일부 메뉴),051-304-7733,,가능<br>요금 (무료),,10:00~22:00,설날·추석 당일,,가능,,19870154068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841481,39,,,,,,,,,,,,,,,,,0,소금빵 아이스크림,피냐콜라다 / 상하목장 아이스크림 / 샌드뷰 등,,가능,0507-1429-9915,,가능,,09:30~23:00 (마지막 주문 22:00),연중무휴,,,,20200156154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128610,12,0,0,0,051-723-1919,,연중무휴,후릿그물체험 / 조간대 체험 / 씨글라스 석고방향제 만들기 / 해조류 말리기,,,,,가능,없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2869241,39,,,,,,,,,,,,,,,,,0,오리불고기,오리백숙 / 토종닭백숙 / 유황오리훈제 등,,,051-893-0629,,가능,,10:00~21:30,연중무휴,,가능,,20190131946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2870277,39,,,,,,,,,,,,,,,,,0,물총조개탕,공원칼국수 / 왕만두 / 보쌈 등,,가능,051-611-3913,,가능,,10:30~21:00 (마지막 주문 20:30),매주 월요일,,가능,,20200137710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942348,12,0,0,0,051-254-5504,,연중무휴,,,,,상시 개방,가능,없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785265,12,0,0,0,051-294-9300,,연중무휴,,,,,상시 개방,가능,없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805377,39,,,,,,,,,,,,,,,,,0,아귀찜,뽈찜 / 아구탕 등,,가능,0507-1351-4376,,가능,,11:00~22:00 (마지막 주문 21:00),매주 월요일,,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132574,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종합,,,1988년 7월,,,완비,051-713-8200,"4,900평 / 점포수 200여 개",매월 둘째 화요일,불가능,,,가능,10:00~22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2872590,39,,,,,,,,,,,,,,,,,0,경양식돈까스,두툼광복돈까스 / 고르곤졸라치즈돈까스 / 비후까스 등,,가능,051-291-2400,,가능,,- 11:00~21:30<br>- 마지막 주문 20:40,연중무휴,,,,20190149493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576410,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부산 중구청,051-714-4758,,,20260222,17:30~22:00,"부산 광복로, 광복중앙로 일원",,,,,,,20251205,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126857,12,0,0,0,부산 중구 관광안내소 051-254-5504,,연중무휴,,,,,상시 개방,불가능,없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127925,12,0,0,0,광안리 해수욕장 051-622-4251,,연중무휴,,,,,상시 개방,가능,불가,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013112,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유기 / 도자기,"도자기 그릇(식기) 2,000~1,545,000원 <BR />
도자기소품 25,000~2,000,000원 <BR />
다기 164,000~600,000원",,2009년 03월 03일,7층 생활 매장,,화장실 완비,051-745-2319,지상 7층,연중무휴,가능,없음,,가능,월요일~목요일 11:00~20:00<br>금요일~일요일 11:00~20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744597,12,0,0,0,신성장사업추진단 051-240-3521,,매주 월요일,,,,,"- 하절기(3월~10월) 09:00~18:00<br>
- 동절기(11월~2월) 09:00~17:00",가능<br>요금 (무료),없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130200,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,연면적 204평<br>지상 1층 / 지하 1층,체험에 따라 다름,,,,051-242-3100,,09:00~18:00,매주 일요일 / 명절 / 공휴일,가능,없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135287,39,,,,,,,,,,,,,,,,,0,오리통훈제,황토가마구이 / 오리생구이 / 오리주물럭 등,모두 금연석,가능(일부 메뉴),051-311-0127,,가능<br>요금 (무료),,10:30~21:00 (마지막 주문 20:30),연중무휴,,가능,전화 예약 가능 (051-311-0127),20010154177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2859073,39,,,,,,,,,,,,,,,,,0,삼겹살,목살 / 항정살 / 끝집라면 / 방아된장찌개 등,,가능,051-702-4279,,가능<br>요금 (무료),,12:00~23:30 (라스트오더 22:20),연중무휴,,가능,,20160142014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2832700,39,,,,,,,,,,,,,,,,,0,롱블랙,버터리라떼 / 낫배드 / 구디슈페너 등,,가능,0507-1378-1465,,가능,,10:30~19:30 (마지막 주문 19:00),연중무휴,,가능,,20210149434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2873498,39,,,,,,,,,,,,,,,,,0,런치코스,"디너코스, 활랍스터, 스테이크, 활전복, 새우, 닭고기, 양갈비 등",,가능,051-704-7792,,가능<br>요금(무료),,11:30~21:00 (브레이크 타임 15:00~17:30),매주 월요일,,가능,,20190142826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303759,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,농산물 / 생활용품 / 채소 / 건어물 / 잡화 등,,,,,,있음,051-518-6893,,※ 자세한 사항은 전화문의 요망,가능,없음,,없음,※ 자세한 사항은 전화문의 요망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755676,12,0,0,0,051-309-4805~6,,매주 일요일 / 법정공휴일,버스이용교육 / 미니전동차 체험하기 / 횡단보도체험 등,,,,"- 평일 10:00~18:00 (입장마감 16:00)<br>
- 주말 10:00~13:00 (입장마감 12:00)<br>
※ 평일 관람대상 : 단체체험교육<br>
※ 토요일 관람대상 : 개별자유관람",가능<br>요금 (무료),없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250885,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,농산물 / 수산물 / 생활용품 / 재래상품 등,,3일 / 8일 / 13일 / 18일 / 23일,,,,있음,051-333-9033,,※ 점포마다 상이함,가능,없음,,가능,08:00~20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809068,39,,,,,,,,,,,,,,,,,0,낙곱새,낙지볶음 / 낙새볶음 / 낚곱볶음 등,,,051-754-7776,,가능,,10:30~ 22:00 (마지막 주문 21:10),연중무휴,,,,20040152382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132191,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,농산물 / 전자제품 / 잡화 / 화장품 등,,,1948년,,,있음,국제시장 상인번영회 051-245-7389,,매주 일요일,가능,없음,,가능,09:00~20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018702,12,0,0,0,051-245-7389,1950년 5월,매주 일요일,,,,,09:00~20:00<br>※ 점포별로 상이함,가능,불가,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942576,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38km,기타,5시간,----지자체-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298099,12,0,0,0,051-517-5003,,연중무휴,,,,,"상시 개방<br>
※ 자세한 사항은 전화문의 요망",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2869454,39,,,,,,,,,,,,,,,,,0,감자뇨끼,통오징어 먹물리조또 / 소고기 로제파스타 / 라구리가토니 등,,가능,0507-1392-6860,,가능,,11:30~21:30 (준비시간 15:00~17:00),연중무휴,,가능,전화 문의,20200130021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818890,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330실,수페리어 / 디럭스 / 프리미어 등,,15:00,11:00,불가,1,0,1,0,1,0,0,0,0,1,0,0,,,,,051-922-5000,가능,,,,,,,,,,,,,,,,,
2626043,39,,,,,,,,,,,,,,,,,0,뷔페식,,,,051-743-3331,,가능<br>요금 (무료),,"- 평일 12:00~21:00 (준비 시간 15:00~18:00)<br>- 주말 12:00~21:00 (준비 시간 13:30~14:00, 16:00~17:00, 19:00~19:30)",매주 수요일,,없음,,20120141285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3470441,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,051-977-8888,,,,,,,,,,,,,,,,,,
3421909,12,0,0,0,010-4146-9686,,,"부산취향 시리즈 <BR>
- 소독차 쫓던 한여름밤<BR>
- ‘리어카 길보다 차트<BR>
- 전봇대 아래 첫키스",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816102,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,양실,"프로모션별 취소규정 상이함 (프로모션별 취소규정 확인 필수), 체크인일 2일 전부터 취소 수수료 발생",17:00,12:00,불가,0,0,0,0,1,0,0,0,0,0,0,0,"편의점, 세탁실",있음,,불가,051-710-4441,가능,"가능(063-445-7585, 홈페이지)",지상 5~6층,60,,,,,,,,,,,,,,
2782628,39,,,,,,,,,,,,,,,,,0,아메리카노,에스프레소 / 에스프레소 콘파냐 / 카페라떼 등,,가능,0507-1360-5684,,가능,,12:00~23:00,연중무휴,,,,20180152342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610815,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,양실,"이용일 11일전까지 취소 : 100% 환불
이용일 10~7일전까지 취소 : 90% 환불
이용일 6일전까지 취소 : 80% 환불
이용일 5일전까지 취소 : 70% 환불
이용일 4일전까지 취소 : 60% 환불
이용일 3일전까지 취소 : 50% 환불
이용일 2일전 ~ 당일 취소 : 환불불가",16:00,11:00,가능,0,0,0,0,1,0,1,0,0,0,0,0,테라스,있음,,불가,0507-1306-9878,가능,전화(0507-1306-9878),,28,,,,,,,,,,,,,,
2833257,39,,,,,,,,,,,,,,,,,0,쉬림프 크로와상 샌드위치,마약 크로와상 / 에스프레소 / 돌체 콜드브루 등,,가능,070-7795-8899,,가능,,10:30~21:00 (마지막 주문 20:30),연중무휴,,가능,,20170156131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020552,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,금정구청,051-714-4674,,,20251101,15:00~22:00,남산로 일원,,,,,,,20251101,무료,,,,선택안함,선택안함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2852685,39,,,,,,,,,,,,,,,,,0,충무세트,육개장 / 찐만두 / 만두백반 / 만두국 / 충무김밥,,가능,051-502-8784,,가능,,11:00~20:30 (라스트오더 20:00),설·추석 연휴,,가능,,20160134644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607440,12,0,0,0,051-555-1383,,연중무휴,차 만들기 체험,,,,10:00~17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128830,12,0,0,0,051-582-3284,1969년 9월,"매주 월요일 (단, 월요일이 공휴일일 경우 그 다음날)",,,,,08:00~17:00 (입장 마감 16:30),가능,없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
