area_no,district,town
2635066000,해운대구,재송제2동
2638000000,사하구,
2638051000,사하구,괴정제1동
2638052000,사하구,괴정제2동
2638053000,사하구,괴정제3동
2638054000,사하구,괴정제4동
2638055000,사하구,당리동
2638056100,사하구,하단제1동
2638056200,사하구,하단제2동
2638057100,사하구,신평제1동
2638057200,사하구,신평제2동
2638058000,사하구,장림제1동
2638059000,사하구,장림제2동
2638060100,사하구,다대제1동
2638060200,사하구,다대제2동
2638061000,사하구,구평동
2638062000,사하구,감천제1동
2638063000,사하구,감천제2동
2641000000,금정구,
2641051000,금정구,서제1동
2641052000,금정구,서제2동
2641053000,금정구,서제3동
2641055500,금정구,금사회동동
2641057000,금정구,부곡제1동
2641058000,금정구,부곡제2동
2641059000,금정구,부곡제3동
2641059100,금정구,부곡제4동
2641060000,금정구,장전제1동
2641061000,금정구,장전제2동
2641063500,금정구,선두구동
2641066500,금정구,청룡노포동
2641067000,금정구,남산동
2641068000,금정구,구서제1동
2641069000,금정구,구서제2동
2641070000,금정구,금성동
2644000000,강서구,
2644051000,강서구,대저1동
2644052000,강서구,대저2동
2644053000,강서구,강동동
2644053500,강서구,명지1동
2644054500,강서구,명지2동
2644055000,강서구,가락동
2644056000,강서구,녹산동
2644058000,강서구,가덕도동
2644059000,강서구,신호동
2647000000,연제구,
2647061000,연제구,거제제1동
2647062000,연제구,거제제2동
2647063000,연제구,거제제3동
2647064000,연제구,거제제4동
2647065000,연제구,연산제1동
2647066000,연제구,연산제2동
2647067000,연제구,연산제3동
2647068000,연제구,연산제4동
2647069000,연제구,연산제5동
2647070000,연제구,연산제6동
2647072000,연제구,연산제8동
2647073000,연제구,연산제9동
2650000000,수영구,
2650066000,수영구,남천제1동
2650067000,수영구,남천제2동
2650073000,수영구,수영동
2650074000,수영구,망미제1동
2650075000,수영구,망미제2동
2650076000,수영구,광안제1동
2650077000,수영구,광안제2동
2650078000,수영구,광안제3동
2650079000,수영구,광안제4동
2650080000,수영구,민락동
2653000000,사상구,
2653058000,사상구,삼락동
2653059100,사상구,모라제1동
2653059300,사상구,모라제3동
2653060000,사상구,덕포제1동
2653061000,사상구,덕포제2동
2653062000,사상구,괘법동
2653064500,사상구,감전동
2653065000,사상구,주례제1동
2653066000,사상구,주례제2동
2653066100,사상구,주례제3동
2653067000,사상구,학장동
2653068000,사상구,엄궁동
2671000000,기장군,
2671025000,기장군,기장읍
2671025300,기장군,장안읍
2671025600,기장군,정관읍
2671025900,기장군,일광읍
2671033000,기장군,철마면
